Date,,CMR,XIC,XIU,XBB,XSB,XIN,XEM,XSP,XQQ,XRE,Absolute,Total,Running ROR,34.20%
"May 31 2009",,0.017836,11.338497,11.980256,-0.208336,-0.316167,6.085217,,5.373067,,14.534733,,14.53%,,
"Jun 30 2009",,0.007836,0.345333,-0.103082,1.300069,0.315968,-1.508533,--,-0.290988,,3.195327,,,,
"Jul 31 2009",,0.017836,4.168776,4.091093,0.666139,0.508492,8.139823,3.118876,6.944861,,4.970099,,4.97%,,
"Aug 31 2009",,0.017836,0.921228,-0.115371,1.038974,0.592762,3.529238,0.411260,3.819306,,8.043570,,8.04%,,
"Sep 30 2009",,0.017836,5.101783,4.523173,0.900913,0.482521,2.140729,7.624237,3.343427,,7.925743,,7.93%,,
"Oct 31 2009",,0.007836,-4.055601,-4.641704,-0.072496,0.215061,-3.579004,-3.125903,-1.886634,,-2.728554,,-2.73%,,
"Nov 30 2009",,0.007836,5.115769,5.226582,1.275435,0.975763,2.041661,5.570288,6.009728,,1.364894,,1.36%,,
"Dec 31 2009",,0.007836,2.894468,2.171230,-1.426709,-0.794558,4.357879,2.538398,1.612499,,8.648263,,8.65%,,
"Jan 31 2010",,0.018592,-5.346570,-6.255789,1.777612,1.082625,-4.229431,-6.297588,-3.413425,,2.120457,,2.12%,,
"Feb 28 2010",,0.008592,4.936705,5.062503,0.138330,0.174707,1.410791,1.002975,2.954966,,1.251782,,1.25%,,
"Mar 31 2010",,0.008592,3.775447,4.079954,-0.746599,-0.889873,7.231894,3.757923,5.732216,,0.170734,,0.17%,,
"Apr 30 2010",,0.018592,1.639654,1.527437,-0.121601,-0.303236,-2.284442,-0.341504,1.600026,,2.571721,,2.57%,,
"May 31 2010",,0.018592,-3.487812,-3.240240,1.136997,0.495021,-6.942961,-6.128725,-8.428615,,-2.845450,,-2.85%,,
"Jun 30 2010",,0.018592,-3.717587,-4.023246,1.798035,1.447979,-4.151575,-0.252598,-5.331684,,1.860132,,1.86%,,
"Jul 31 2010",,0.028591,3.920356,3.706541,0.447183,0.432062,6.887064,7.502653,6.827476,,6.538361,,6.54%,,
